TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Akuma no Riddle,http://animeindo.web.id/wp-content/uploads/2014/04/index.jpg,http://filetrip.net/embed?gGU9JMV3Vy,"{'\nProducers': ' Diomedea', '\nGenres': ' Action, School, Yuri'}"," Sinopsis:
Cerita bertempat di Akademi Myoujou di mana terdapat sebuah kelas khusus bernama “Kelas Hitam”. Kelas itu dihuni oleh 12 pembunuh profesional dengan seorang target yang bernama Ichinose Haru. Salah satu dari 12 pembunuh di kelas itu, Azuma Tokaku yang juga memburu Haru, perlahan mulai menumbuhkan “Rasa” pada sang target. Apakah yang akan terjadi?
Producers: Diomedea
Genres: Action, School, Yuri
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Aldnoah.Zero,http://animeindo.web.id/wp-content/uploads/2014/07/60263.jpg,http://www.mp4upload.com/embed-2d5xhxav3ly3.html,"{'Producers': ' Aniplex, A-1 Pictures, Nitroplus, Aniplex of America, TROYCA', '\nGenres': ' Action, Mecha, Sci-Fi'}","Producers: Aniplex, A-1 Pictures, Nitroplus, Aniplex of America, TROYCA
Genres: Action, Mecha, Sci-Fi
Sinopsis:
Di tahun 1972, misi Apollo 17 telah menemukan sebuah gerbang menuju Mars melalui permukaan bulan. Tak lama, terjadi perang antara Bumi dan Mars. Para Ksatria Mars mulai berdatangan dari langit mengendarai raksasa besi, dengan tujuan memusnahkan umat manusia.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Aldnoah Zero S2,http://1.bp.blogspot.com/-0N49GCoZRKs/VLGOKRwuDsI/AAAAAAAABPA/vsUg5LqO24U/s1600/67581.jpg,http://www.mp4upload.com/embed-2d5xhxav3ly3.html,"{'Tipe': ' serial TV', '\nJumlah Episode': ' 12', '\nMulai Ditayangkan': ' 6 Juli 2014 – 21 September 2014', '\nProduser': ' A-1 Pictures, TROYCA', '\nGenre': ' Action, Mecha, Sci-Fi', '\nDurasi': ' 23 min. per episode', '\nRating': ' PG-13 – Remaja 13 atau lebih tua'}","Sinopsis :
Musim kedua dari anime Aldnoah Zero
Informasi:
Tipe: serial TV
Jumlah Episode: 12
Mulai Ditayangkan: 6 Juli 2014 – 21 September 2014
Produser: A-1 Pictures, TROYCA
Genre: Action, Mecha, Sci-Fi
Durasi: 23 min. per episode
Rating: PG-13 – Remaja 13 atau lebih tua
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Alice to Zouroku,http://animeindo.video/wp-content/uploads/2017/04/rsz_84598.jpg,http://www.mp4upload.com/embed-2d5xhxav3ly3.html,"{'Japanese': ' アリスと蔵六', '\nProducer': ' Bandai Visual, J.C.Staff, Lantis', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Adventure, Mystery, Seinen', '\nDurasi': ' –', '\nEpisode': ' –', '\nRating': ' 7.18', '\nAdded On': ' April 3rd, 2017'}","Japanese: アリスと蔵六
Producer: Bandai Visual, J.C.Staff, Lantis
Type: TV Series
Status: Ongoing
Genre: Adventure, Mystery, Seinen
Durasi: –
Episode: –
Rating: 7.18
Added On: April 3rd, 2017
Sinopsis:
Mengisahkan seorang gadis bernama Sana, yang menjadi pemegang dari kekuatan Mimpi Alice, sebuah kemampuan di mana dia bisa mewujudkan apa pun yang dia bayangkan. Setelah kabur dari laboratorium tempat dia jadi percobaan, Sana masuk ke dunia normal dan bertemu kakek bernama Zouroku. Maukah kakek itu membantunya?
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
All Out!!,https://3.bp.blogspot.com/-QHL_rbdqUHo/V_biMpoKjmI/AAAAAAAAPcA/_EJzt5T5YzU3Kwz06JR-DAw737cCgtb8ACLcB/s1600/81668l__1475797531_180.253.132.21.jpg,http://www.mp4upload.com/embed-2d5xhxav3ly3.html,"{'Judul Asli': ' オールアウト!!', '\nTipe': ' TV', '\nEpisode': ' 25', '\nStatus': ' Ongoing', '\nDisiarkan': ' Okt 07, 2016', '\nProduser': ' Madhouse, TMS Entertainment', '\nGenres': ' School, Seinen, Sports'}","Judul Asli: オールアウト!!
Tipe: TV
Episode: 25
Status: Ongoing
Disiarkan: Okt 07, 2016
Produser: Madhouse, TMS Entertainment
Genres: School, Seinen, Sports
Sinopsis All Out!!
Dalam olahraga rugby tak ada yang namanya ace striker, tak ada yang namanya pemukul keempat, lalu siapa yang menjadi bintang tim rugby?
Cerita bermula saat upacara masuk di SMA Kanagawa di mana Kenji Gion seorang anak SMA bertubuh kecil namun bertekad kuat bergabung dengan klub rugby. Dia bergabung dengan klub bersama teman sekelasnya yang bernama Iwashimizu yang memiliki masa lalu rumit dan menjadi kapten pengganti, dia sangat peduli pada anggota klubnya. Namun tetap saja yang menjadi kapten adalah Sekizan yang memiliki kekuatan luar biasa namun ia sulit untuk bermain secara tim. Dengan kepribadian serta fisik yang berbeda-beda, tim mereka harus berusaha bekerja sama serta tumbuh bersama sehingga mereka bisa menjadi tim rugby terbaik.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Amaama to Inazuma,https://1.bp.blogspot.com/-EsiHbK32-0s/V3xWJWouDvI/AAAAAAAAOJ0/T0ql3qe7_FENWTqQ_DzbMeL0msq0o8M-QCLcB/s1600/78709__1467766282_36.81.67.107.jpg,http://www.mp4upload.com/embed-2d5xhxav3ly3.html,"{'Japanese': ' 甘々と稲妻', '\nProducer': ' Shin-Ei Animation, TMS Entertainment', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Comedy, Slice of Life', '\nDurasi': ' 24 min. per ep.', '\nEpisode': ' 12', '\nRating': ' 8.12', '\nAdded On': ' July 5th, 2016'}","Japanese: 甘々と稲妻
Producer: Shin-Ei Animation, TMS Entertainment
Type: TV Series
Status: Ongoing
Genre: Comedy, Slice of Life
Durasi: 24 min. per ep.
Episode: 12
Rating: 8.12
Added On: July 5th, 2016
Sinopsis:
Setelah kehilangan istrinya, seorang guru Matematika Kouhei Inuzuka berusaha sebaik mungkin demi mengurus puteri kecilnya Tsumugi sebagai orang tua tunggal. Dia tidak bisa masak dan tidak terlalu bersemangat, tapi ada kesempatan untuk keluarga kecilnya dan salah seorang siswanya Kotori Iida bersama-sama menciptakan petualangan. Mereka bertiga sebagai kokinya, tak heran drama meja makan ini akan sangat nikmat.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Amagi Brilliant Park,http://animeindo.web.id/wp-content/uploads/2014/10/65293l.jpg,http://www.mp4upload.com/embed-ptj9hmeefar8.html,{'Nama Lain': ' Amaburi / 甘城ブリリアントパーク'}," Kanie Seiya seorang siswa SMA kelas 1, yang merupakan laki-laki paling tampan di kalangan perempuan dan dikagumi di sekolahnya. Namun karena itulah dia jadi angkuh dan tidak ada yang bergaul dengannya apalagi pacar. Tetapi seorang perempuan bernama Sento Isuzu yang baru saja pindah ke sekolahnya tiba-tiba mengancamnya dengan senapan agar mau berkencan dengannya ke sebuah taman hiburan. Namun kali ini, Taman Hiburan yang dijadikan tempat kencan, merupakan taman yang sangat berbeda dengan yang lain. Dan di taman itulah berbagai konflik muncul. Mulai dari masa lalu Kanie hingga misteri-misteri aneh di taman itu.
Nama Lain: Amaburi / 甘城ブリリアントパーク
Tipe : Serial TV
Jumlah Episode : 13
Status : Menunggu Tayang
Tayang : Selasa, 7 Oktober 2014
Produser : Kyoto Animation
Genre : Comedy, Romance
Durasi : 24 menit
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Amanchu!,https://3.bp.blogspot.com/-4wVEzGXcKQk/V5K9781EIZI/AAAAAAAAObw/ultoa2Wo3EQjr2sSw7R6hgFj_XZZWdf1QCLcB/s1600/79182__1469234637_36.81.53.151.jpg,http://www.mp4upload.com/embed-ptj9hmeefar8.html,"{'Japanese': ' あまんちゅ！', '\nProducer': ' flying DOG, J.C.Staff', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Comedy, School, Shounen, Slice of Life', '\nDurasi': ' 23 min', '\nEpisode': ' –', '\nRating': ' 7.25', '\nAdded On': ' July 17th, 2016'}","Japanese: あまんちゅ！
Producer: flying DOG, J.C.Staff
Type: TV Series
Status: Ongoing
Genre: Comedy, School, Shounen, Slice of Life
Durasi: 23 min
Episode: –
Rating: 7.25
Added On: July 17th, 2016
Sinopsis:
Hikari Kohinata adalah gadis periang berumu 15 tahun yang tinggal di dekat laut dan menghabiskan sebagian hidupnya dengan menyelam. Di hari pertama masuk SMA, dia bertemu guru yang kebetulan juga suka menyelam. Ada juga teman sekelasnya, Futaba, yang terseret ulah Hikari yang memang suka bikin ulah.
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
Angolmois: Genkou Kassenki,http://animeindo.video/wp-content/uploads/2018/07/angol2.jpg,http://www.mp4upload.com/embed-ptj9hmeefar8.html,"{'Japanese': ' アンゴルモア 元寇合戦記', '\nProducer': ' NAZ', '\nType': ' TV Series', '\nStatus': ' Ongoing', '\nGenre': ' Action, Drama, Historical, Military, Samurai', '\nDurasi': ' 23 min. per episode', '\nEpisode': ' –', '\nRating': ' 7.24', '\nAdded On': ' July 14th, 2018'}","Japanese: アンゴルモア 元寇合戦記
Producer: NAZ
Type: TV Series
Status: Ongoing
Genre: Action, Drama, Historical, Military, Samurai
Durasi: 23 min. per episode
Episode: –
Rating: 7.24
Added On: July 14th, 2018
Sinopsis : 
Raja besar yang menakutkan datang dari sisi lain lautan… insiden besar Genkou yang mengejutkan di Jepang jaman pertengahan kini disajikan dimulai dari cerita tentang Samurai…!
"
TITLE,IMAGES,URL_VIDEOS,DESCRIPTIONS,SYNOPSIS
